慣用色名,読み（和色名の場合はふりがな、外来色名の場合は英語名）,HEXコード,出題級（3級/2級）
桜色,さくらいろ,#fdeeef,3
紅梅色,こうばいいろ,#f3a7a5,3
鴇色,ときいろ,#f4b3c2,2
珊瑚色,さんごいろ,#f4ada3,3
ローズピンク,rose pink,#f29c9f,2
オールドローズ,old rose,#da8d93,2
ベビーピンク,baby pink,#fadbda,3
サーモンピンク,salmon pink,#f4a583,3
韓紅色,からくれないいろ,#e95464,2
朱色,しゅいろ,#e94709,3
牡丹色,ぼたんいろ,#e55a9b,3
バーミリオン,vermilion,#eb613b,3
カーマイン,carmine,#d7003a,3
スカーレット,scarlet,#ea5539,3
茜色,あかねいろ,#b7282d,3
蘇芳,すおう,#9e3d3e,2
ポピーレッド,poppy red,#e9474d,2
ワインレッド,wine red,#932e44,3
ボルドー,bordeaux,#600f18,3
バーガンディー,burgundy,#561620,2
黄丹,おうに,#ee7948,2
柑子色,こうじいろ,#f6ad48,2
山吹色,やまぶきいろ,#f8b500,3
ピーチ,peach,#fbd8b5,3
マリーゴールド,marigold,#f39800,3
オリーブ,olive,#72640a,3
刈安色,かりやすいろ,#f5e56b,2
黄蘗色,きはだいろ,#fef263,2
鬱金色,うこんいろ,#fabf13,2
芥子色,からしいろ,#d2b74e,3
ゴールデンイエロー,golden yellow,#f8b856,2
ネープルスイエロー,naples yellow,#fdd75c,2
ジョンブリアン,jaune brillant,#ffdc00,2
レモンイエロー,lemon yellow,#fff33f,3
カナリヤ,canary yellow,#fff262,3
クリームイエロー,cream yellow,#fff2b8,3
ブロンド,blond,#f7dc8d,3
萌黄,もえぎ,#afd147,3
若竹色,わかたけいろ,#67be8d,3
海松色,みるいろ,#726d3f,2
常磐色,ときわいろ,#007c45,2
松葉色,まつばいろ,#839a5c,3
青磁色,せいじいろ,#68b7a1,3
緑青色,ろくしょういろ,#4f8a5d,2
鶯色,うぐいすいろ,#9d973b,3
鶸色,ひわいろ,#d7cf3a,2
リーフグリーン,leaf green,#9dc04c,2
グラスグリーン,grass green,#7b8d41,2
アップルグリーン,apple green,#a2cc89,2
オリーブグリーン,olive green,#5f651e,3
マラカイトグリーン,malachite green,#009854,2
コバルトグリーン,cobalt green,#3ab483,3
ビリジアン,viridian,#008969,3
エメラルドグリーン,emerald green,#00aa6e,3
シャルトルーズグリーン,chartreuse green,#d9e367,2
ミントグリーン,mint green,#98ce97,2
ボトルグリーン,bottle green,#005635,2
ピーコックグリーン,peacock green,#00a496,2
空色,そらいろ,#a0d8ef,3
瑠璃色,るりいろ,#1d50a2,3
群青色,ぐんじょういろ,#4e67b0,3
藍色,あいいろ,#0f5779,3
甕覗き,かめのぞき,#a2d7dd,2
縹色,はなだいろ,#2980af,2
納戸色,なんどいろ,#007d92,2
鉄色,てついろ,#005242,2
浅葱色,あさぎいろ,#00a1ae,3
新橋色,しんばしいろ,#64bcc7,2
スカイブルー,sky blue,#a0d8ef,3
ミッドナイトブルー,midnight blue,#001d42,2
ウルトラマリンブルー,ultramarine blue,#4052a2,3
ターコイズブルー,turquoise blue,#00afcc,3
ベビーブルー,baby blue,#bbe2f1,3
コバルトブルー,cobalt blue,#0068b7,3
セルリアンブルー,cerulean blue,#008db7,2
シアン,cyan,#00a0e9,3
マリンブルー,marine blue,#006788,3
ネイビーブルー,navy blue,#1f2e55,3
サックスブルー,saxe blue,#3a8daa,2
ナイルブルー,nile blue,#259f94,2
ピーコックブルー,peacock blue,#009aa3,
マゼンタ,magenta,#e4007f,3
江戸紫,えどむらさき,#734e95,2
古代紫,こだいむらさき,#895687,2
藤色,ふじいろ,#bbb7da,2
桔梗色,ききょういろ,#5654a2,3
杜若色,かきつばたいろ,#4d4398,3
菖蒲色,あやめいろ,#cc7db1,3
茄子紺,なすこん,#4b1a47,3
モーブ,mauve,#915da3,3
バイオレット,violet,#714f9d,3
パープル,purple,#9b68a9,3
ライラック,lilac,#d1bada,2
ウイスタリア,wistaria,#8e8bc2,2
ラベンダー,lavender,#c5b3d3,3
モーヴ,Mauve,#a05695,
黄土色,おうどいろ,#c39043,3
代赭,たいしゃ,#bb541f,2
弁柄色,べんがらいろ,#8f2d12,2
朽葉色,くちばいろ,#917347,2
煤竹色,すすたけいろ,#6b5146,2
檜皮色,ひわだいろ,#965036,2
栗色,くりいろ,#762e05,3
海老茶,えびちゃ,#814336,2
鳶色,とびいろ,#8b4239,2
琥珀色,こはくいろ,#bf7834,2
煉瓦色,れんがいろ,#a2482b,3
ローシェンナ,raw sienna,#d98032,2
バーントシェンナ,burnt sienna,#b25532,2
ローアンバー,raw umber,#916f24,2
バーントアンバー,burnt umber,#7a5e3d,2
セピア,sepia,#6f4e27,3
カーキー,khaki,#bb9855,3
ベージュ,beige,#eedcb3,3
エクルベージュ,ecru beige,#f8eacf,2
タン,tan,#c1813f,2
マルーン,maroon,#6a1816,2
テラコッタ,terracotta,#be6d55,2
チョコレート,chocholate,#612c16,3
アンバー,amber,#c28953,2
生成り色,きなりいろ,#fbfaf3,3
茶鼠,ちゃねず,#a99e93,2
銀鼠,ぎんねず,#afafb0,2
利休鼠,りきゅうねず,#7b8174,2
アイボリー,ivory,#f8f5e3,3
シルバーグレー,silver grey,#afafb0,3
スレートグレー,slate grey,#636062,2
チャコールグレー,charcoal grey,#4e4449,3
ランプブラック,lamp black,#24130d,2
