v1,#D40045
v2,#EE0026
v3,#FD1A1C
v4,#FE4118
v5,#FF590B
v6,#FF7F00
v7,#FFCC00
v8,#FFE600
v9,#CCE700
v10,#99CF15
v11,#66B82B
v12,#33A23D
v13,#008F62
v14,#008678
v15,#007A87
v16,#055D87
v17,#093F86
v18,#0F218B
v19,#1D1A88
v20,#281285
v21,#340C81
v22,#56007D
v23,#770071
v24,#AF0065
b2,#FA344D
b4,#FC4E33
b6,#FF9913
b8,#FFF231
b10,#99D02C
b12,#32A65D
b14,#1AA28E
b16,#1C86AE
b18,#396BB0
b20,#6A64AE
b22,#A459AB
b24,#DF4C93
dp2,#9D002B
dp4,#A51200
dp6,#A24A02
dp8,#A48204
dp10,#518517
dp12,#306F42
dp14,#025865
dp16,#04436E
dp18,#073E74
dp20,#232266
dp22,#531560
dp24,#75004F
lt2,#FB7482
lt4,#FB8071
lt6,#FDB56D
lt8,#FEF27A
lt10,#B3DE6A
lt12,#7FC97E
lt14,#66C1AF
lt16,#67B1CA
lt18,#689ECA
lt20,#817DBA
lt22,#B173B6
lt24,#E170A4
sf2,#C95F6B
sf4,#D77957
sf6,#D89048
sf8,#CCBA4C
sf10,#B3B140
sf12,#66AC78
sf14,#4E9B87
sf16,#4F8B96
sf18,#516691
sf20,#5C5791
sf22,#8B5587
sf24,#B05076
d2,#994052
d4,#B24443
d6,#B25939
d8,#997F42
d10,#757E47
d12,#5A814C
d14,#2A6A69
d16,#1D6283
d18,#214275
d20,#39367B
d22,#5F3179
d24,#802A69
dk2,#632A31
dk4,#743526
dk6,#6B4919
dk8,#6A5B18
dk10,#56561A
dk12,#355935
dk14,#1E4B44
dk16,#0E4250
dk18,#163450
dk20,#312C4C
dk22,#4A304B
dk24,#643142
p2,#FBB4C4
p4,#FDCDB7
p6,#FEE6AA
p8,#FEFFB3
p10,#E6F5B0
p12,#CCEAC4
p14,#B3E2D8
p16,#B4D7DD
p18,#B3CEE3
p20,#B2B6D9
p22,#CAB2D6
p24,#E4ADD5
ltg2,#D7A4B5
ltg4,#D7AFA7
ltg6,#D8BA96
ltg8,#D9C69B
ltg10,#AAC09A
ltg12,#9EBCA4
ltg14,#92B8AD
ltg16,#91AFBA
ltg18,#91A4B5
ltg20,#9191AD
ltg22,#A997B1
ltg24,#C09FB4
g2,#7D4F5A
g4,#7D5F61
g6,#7C6764
g8,#7E6F5A
g10,#636F5B
g12,#476C5B
g14,#395B64
g16,#384E5C
g18,#394158
g20,#3F3051
g22,#4A3753
g24,#5B3A55
dkg2,#3A2B2E
dkg4,#3A2C2B
dkg6,#463B35
dkg8,#47402C
dkg10,#3E3F31
dkg12,#24332C
dkg14,#253532
dkg16,#283639
dkg18,#212832
dkg20,#282530
dkg22,#2D2A31
dkg24,#392D31
W,#f1f1f1
Gy-9.0,#E3E3E3
Gy-8.5,#D5D5D5
Gy-8.0,#C8C8C8
Gy-7.5,#BBBBBB
Gy-7.0,#ADADAD
Gy-6.5,#A0A0A0
Gy-6.0,#939393
Gy-5.5,#868686
Gy-5.0,#797979
Gy-4.5,#6D6D6D
Gy-4.0,#606060
Gy-3.5,#545454
Gy-3.0,#484848
Gy-2.5,#3C3C3C
Gy-2.0,#313131
Bk,#252525
